French,English
partie,part
seulement,only
police,police
pensais,thought
demande,request
mois,month
laisser,let
mettre,to put
aucun,no
ville,city
devrait,should
bébé,baby
revoir,meet again
parle,speak
savais,knew
attention,Warning
corps,body
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
suite,after
pardon,sorry
venez,come
droit,law
mari,husband
cause,cause
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
loin,far
fin,end
chérie,sweetheart
plutôt,rather
jouer,to play
